,Date_1W,crit1_1W,crit2_1W,crit3_1W,crit4_1W,crit5_1W,crit6_1W,crit7_1W,Date_1D,crit1_1D,crit2_1D,crit3_1D,crit4_1D,crit5_1D,crit6_1D,crit7_1D
0,2018-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-08-13,0,0,0,0,0,0,0
1,2018-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-08-14,0,0,0,0,0,0,0
2,2018-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-08-15,0,0,0,0,0,0,0
3,2018-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-08-16,0,0,0,0,0,0,0
4,2018-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-08-17,0,0,0,0,0,0,0
5,2018-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-08-20,0,0,0,0,0,0,0
6,2018-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-08-21,0,0,0,0,0,0,0
7,2018-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-08-22,0,0,0,0,0,0,0
8,2018-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-08-23,0,0,0,0,0,0,0
9,2018-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-08-24,0,0,0,0,0,0,0
10,2018-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-08-27,0,0,0,0,0,0,0
11,2018-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-08-28,0,0,0,0,0,0,0
12,2018-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-08-29,0,0,0,0,0,0,0
13,2018-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-08-30,0,0,0,0,0,0,0
14,2018-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-08-31,0,0,0,0,0,0,0
15,2018-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-04,0,0,0,0,0,0,0
16,2018-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-05,0,0,0,0,0,0,0
17,2018-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-06,0,0,0,0,0,0,0
18,2018-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-07,0,0,0,0,0,0,0
19,2018-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-10,0,0,0,0,0,0,0
20,2018-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-11,0,0,0,0,0,0,0
21,2018-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-12,0,0,0,0,0,0,0
22,2018-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-13,0,0,0,0,0,0,0
23,2018-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-14,0,0,0,0,0,0,0
24,2018-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-17,0,0,0,0,0,0,0
25,2018-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-18,1,0,0,0,0,1,0
26,2018-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-19,1,0,0,0,0,1,0
27,2018-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-20,1,1,0,0,0,1,0
28,2018-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-21,1,1,0,0,0,1,0
29,2018-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-24,1,1,0,0,0,1,0
30,2018-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-25,1,1,0,0,0,1,0
31,2018-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-26,0,0,0,0,0,1,0
32,2018-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-27,0,0,0,0,0,1,0
33,2018-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-28,0,1,0,0,0,1,0
34,2018-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-01,0,1,0,0,0,1,0
35,2018-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-02,1,1,0,0,0,1,0
36,2018-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-03,1,1,0,0,0,1,0
37,2018-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-04,1,0,0,0,0,1,0
38,2018-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-05,1,1,0,0,0,0,0
39,2018-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-08,1,1,0,0,0,0,0
40,2018-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-09,1,1,0,0,0,0,0
41,2018-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-10,1,0,0,0,0,0,0
42,2018-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-11,0,0,0,0,0,0,0
43,2018-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-12,0,0,0,0,0,0,0
44,2018-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-15,0,0,0,0,0,0,0
45,2018-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-16,0,0,0,0,0,0,0
46,2018-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-17,0,0,0,0,0,0,0
