,Date,crit1,crit2,crit3,crit4,crit5,crit6,crit7
0,2018-08-13,0,0,0,0,0,0,0
1,2018-08-20,0,0,0,0,0,0,0
2,2018-08-27,0,0,0,0,0,0,0
3,2018-09-03,0,0,0,0,0,0,0
4,2018-09-10,0,0,0,0,0,0,0
5,2018-09-17,0,0,0,0,0,0,0
6,2018-09-24,0,0,0,0,0,0,0
7,2018-10-01,0,0,0,0,0,0,0
8,2018-10-08,0,0,0,0,0,0,0
9,2018-10-15,0,0,0,0,0,0,0
10,2018-10-22,0,0,0,0,0,0,0
11,2018-10-29,0,0,0,0,0,0,0
12,2018-11-05,0,0,0,0,0,0,0
13,2018-11-12,0,0,0,0,0,0,0
14,2018-11-19,0,0,0,0,0,0,0
15,2018-11-26,0,0,0,0,0,0,0
16,2018-12-03,0,0,0,0,0,0,0
17,2018-12-10,0,0,0,0,0,0,0
18,2018-12-17,0,0,0,0,0,0,0
19,2018-12-24,0,0,0,0,0,0,0
20,2018-12-31,0,0,0,0,0,0,0
21,2019-01-07,0,0,0,0,0,0,0
22,2019-01-14,0,0,0,0,0,0,0
23,2019-01-21,0,0,0,0,0,0,0
24,2019-01-28,0,0,0,0,0,0,0
25,2019-02-04,0,0,0,0,0,0,0
26,2019-02-11,0,0,0,0,0,0,0
27,2019-02-18,0,0,0,0,0,0,0
28,2019-02-25,0,1,0,0,0,0,0
29,2019-03-04,0,1,0,0,0,0,0
30,2019-03-11,0,1,0,0,0,0,0
31,2019-03-18,0,1,0,0,0,0,0
32,2019-03-25,0,1,0,0,0,0,0
33,2019-04-01,0,1,0,0,0,0,0
34,2019-04-08,1,1,0,0,0,0,0
35,2019-04-15,1,1,0,0,0,0,0
36,2019-04-22,1,1,0,0,0,0,0
37,2019-04-29,1,0,0,0,0,1,0
38,2019-05-06,1,1,0,0,0,0,0
39,2019-05-13,1,1,0,0,0,0,0
40,2019-05-20,1,0,0,0,0,0,0
41,2019-05-27,1,0,0,0,0,0,0
42,2019-06-03,1,0,0,0,0,1,0
43,2019-06-10,1,0,0,0,0,1,0
44,2019-06-17,1,0,0,0,0,1,0
45,2019-06-24,1,0,0,0,0,1,0
46,2019-07-01,1,0,0,0,0,1,0
47,2019-07-08,1,0,0,0,0,1,0
48,2019-07-15,1,1,0,0,0,1,0
49,2019-07-22,1,1,0,0,0,1,0
50,2019-07-29,1,1,1,0,0,1,0
51,2019-08-05,1,1,1,0,1,1,0
52,2019-08-12,1,1,1,0,1,1,0
53,2019-08-19,1,1,1,0,1,1,0
54,2019-08-26,1,0,1,0,1,1,0
55,2019-09-02,1,1,1,0,1,1,0
56,2019-09-09,1,1,1,0,1,1,0
57,2019-09-16,1,0,1,0,1,1,0
58,2019-09-23,1,0,1,0,1,1,0
59,2019-09-30,1,1,1,0,1,1,0
60,2019-10-07,1,1,1,0,1,1,1
61,2019-10-14,1,1,1,0,1,1,1
62,2019-10-21,1,1,1,0,1,1,1
63,2019-10-28,1,1,1,0,1,1,1
64,2019-11-04,1,1,1,0,1,1,1
65,2019-11-11,1,1,1,0,1,1,1
66,2019-11-18,1,1,1,0,1,1,1
67,2019-11-25,1,0,1,0,1,1,0
68,2019-12-02,1,1,1,0,1,1,1
69,2019-12-09,1,1,1,0,1,1,1
70,2019-12-16,1,1,1,0,1,1,1
71,2019-12-23,1,1,1,0,1,1,1
72,2019-12-30,1,1,1,0,1,1,1
73,2020-01-06,1,1,1,0,1,1,1
74,2020-01-13,1,1,1,0,1,1,1
75,2020-01-20,1,1,1,0,1,1,1
76,2020-01-27,1,1,1,1,1,1,1
77,2020-02-03,1,1,1,1,1,1,1
78,2020-02-10,1,1,1,1,1,1,1
79,2020-02-17,1,1,1,1,1,1,1
80,2020-02-24,1,0,1,1,1,1,0
81,2020-03-02,1,1,1,1,1,1,1
82,2020-03-09,1,0,1,1,1,1,0
83,2020-03-16,1,0,1,1,1,1,0
84,2020-03-23,0,0,1,1,1,1,0
85,2020-03-30,0,0,1,1,1,1,0
86,2020-04-06,0,0,1,1,1,1,0
87,2020-04-13,0,0,1,1,1,1,0
88,2020-04-20,0,0,1,1,1,1,0
