,Date_1D,ticker,total_pts,chg
749,2021-08-25,GOOG,8.0,0.0
749,2021-08-25,GOOGL,8.0,0.0
749,2021-08-25,MSFT,8.0,0.0
749,2021-08-25,RFFC,8.0,0.0
749,2021-08-25,FB,8.0,0.0
749,2021-08-25,AAPL,8.0,0.0
749,2021-08-25,SPRT,8.0,0.0
749,2021-08-25,BRK-A,8.0,0.0
743,2021-08-25,LAZY,8.0,0.0
749,2021-08-25,COOP,8.0,0.0
731,2021-08-25,ACY,8.0,0.0
749,2021-08-25,CRM,8.0,0.0
749,2021-08-25,NVDA,8.0,0.0
749,2021-08-25,PMTS,8.0,0.0
749,2021-08-25,BRK-B,8.0,0.0
749,2021-08-25,ADBE,8.0,0.0
748,2021-08-25,ATLC,8.0,0.0
748,2021-08-25,MYFW,8.0,0.0
748,2021-08-25,FRD,8.0,0.0
748,2021-08-25,PFSI,8.0,0.0
748,2021-08-25,AAWW,8.0,0.0
748,2021-08-25,FTNT,8.0,0.0
749,2021-08-25,MGY,7.0,1.0
749,2021-08-25,AMC,7.0,1.0
746,2021-08-25,AHPI,7.0,0.0
716,2021-08-25,NAOV,7.0,0.0
749,2021-08-25,XBIO,7.0,0.0
749,2021-08-25,DVN,7.0,0.0
749,2021-08-25,ANY,7.0,0.0
749,2021-08-25,TSLA,7.0,0.0
748,2021-08-25,DLPN,7.0,0.0
749,2021-08-25,SENS,7.0,0.0
749,2021-08-25,AUPH,7.0,0.0
749,2021-08-25,NFLX,7.0,0.0
749,2021-08-25,BXC,7.0,0.0
529,2021-08-25,FULC,7.0,0.0
456,2021-08-25,ONTO,7.0,0.0
749,2021-08-25,RFCI,6.0,1.0
749,2021-08-25,AUDC,6.0,1.0
132,2021-08-25,VRPX,6.0,0.0
749,2021-08-25,MOSY,6.0,0.0
689,2021-08-25,XTLB,6.0,0.0
749,2021-08-25,AEHR,6.0,0.0
748,2021-08-25,TROX,6.0,0.0
749,2021-08-25,SHOP,6.0,-1.0
749,2021-08-25,FRHC,6.0,-1.0
413,2021-08-25,MDIA,5.0,1.0
749,2021-08-25,RDHL,5.0,0.0
749,2021-08-25,ANIX,5.0,0.0
735,2021-08-25,CARV,5.0,0.0
230,2021-08-25,GOVX,5.0,0.0
749,2021-08-25,BKR,5.0,0.0
749,2021-08-25,BPMC,5.0,0.0
749,2021-08-25,LITE,5.0,0.0
749,2021-08-25,TGI,5.0,-1.0
747,2021-08-25,CLRO,5.0,-1.0
748,2021-08-25,NTP,5.0,-1.0
749,2021-08-25,SAVA,5.0,-3.0
739,2021-08-25,TKAT,4.0,1.0
749,2021-08-25,NCTY,4.0,1.0
749,2021-08-25,CASI,4.0,1.0
749,2021-08-25,SRPT,4.0,1.0
583,2021-08-25,BCTX,4.0,1.0
749,2021-08-25,MRIN,4.0,0.0
749,2021-08-25,AMZN,4.0,0.0
749,2021-08-25,CODX,4.0,0.0
749,2021-08-25,BLIN,4.0,0.0
675,2021-08-25,WORX,4.0,0.0
656,2021-08-25,BTBT,4.0,0.0
322,2021-08-25,OSAT,4.0,0.0
749,2021-08-25,RIOT,4.0,0.0
709,2021-08-25,SGOC,4.0,0.0
749,2021-08-25,EXPI,4.0,0.0
742,2021-08-25,MOXC,4.0,0.0
700,2021-08-25,ORGO,4.0,0.0
749,2021-08-25,CARA,4.0,0.0
749,2021-08-25,RVP,4.0,0.0
749,2021-08-25,BOMN,4.0,0.0
749,2021-08-25,FINV,4.0,0.0
741,2021-08-25,HUT,4.0,0.0
749,2021-08-25,LPCN,4.0,-1.0
749,2021-08-25,NURO,4.0,-2.0
290,2021-08-25,ADTX,3.0,3.0
152,2021-08-25,LWACU,3.0,3.0
749,2021-08-25,SLRX,3.0,1.0
749,2021-08-25,VHC,3.0,1.0
749,2021-08-25,LEDS,3.0,0.0
74,2021-08-25,FLGC,3.0,0.0
86,2021-08-25,IMPL,3.0,0.0
749,2021-08-25,FLGT,3.0,0.0
741,2021-08-25,AEMD,3.0,0.0
327,2021-08-25,CLEU,3.0,0.0
748,2021-08-25,LIVE,3.0,0.0
749,2021-08-25,KL,3.0,0.0
747,2021-08-25,OXBR,3.0,0.0
749,2021-08-25,OVV,3.0,0.0
749,2021-08-25,FWP,3.0,0.0
748,2021-08-25,AC,3.0,0.0
176,2021-08-25,VVOS,3.0,-1.0
749,2021-08-25,APOP,3.0,-2.0
749,2021-08-25,GE,3.0,-2.0
749,2021-08-25,UUU,2.0,1.0
711,2021-08-25,UONE,2.0,1.0
749,2021-08-25,HYRE,2.0,0.0
734,2021-08-25,COHN,2.0,0.0
749,2021-08-25,RHE,2.0,0.0
624,2021-08-25,WHLM,2.0,0.0
749,2021-08-25,UCTT,2.0,0.0
749,2021-08-25,LAKE,2.0,0.0
749,2021-08-25,NUWE,2.0,-1.0
749,2021-08-25,ALRN,2.0,-1.0
749,2021-08-25,PRPO,2.0,-1.0
749,2021-08-25,QDEL,1.0,0.0
749,2021-08-25,SQBG,1.0,0.0
676,2021-08-25,RCAT,1.0,0.0
749,2021-08-25,XELA,1.0,0.0
685,2021-08-25,GROM,1.0,0.0
749,2021-08-25,BSQR,1.0,0.0
156,2021-08-25,LEXX,1.0,0.0
749,2021-08-25,ITCI,1.0,0.0
749,2021-08-25,COCP,1.0,0.0
749,2021-08-25,WKHS,1.0,0.0
748,2021-08-25,ARWR,1.0,0.0
748,2021-08-25,TMQ,1.0,0.0
680,2021-08-25,CUEN,1.0,-1.0
749,2021-08-25,EARN,1.0,-1.0
749,2021-08-25,SIGA,1.0,-2.0
749,2021-08-25,PMCB,0.0,0.0
651,2021-08-25,HEXO,0.0,0.0
576,2021-08-25,JFIN,0.0,0.0
749,2021-08-25,ASTC,0.0,0.0
79,2021-08-25,ALF,0.0,0.0
747,2021-08-25,SNOA,0.0,0.0
749,2021-08-25,YCBD,0.0,0.0
749,2021-08-25,SESN,0.0,0.0
749,2021-08-25,ACAD,0.0,0.0
589,2021-08-25,ENSC,0.0,0.0
727,2021-08-25,RMED,0.0,0.0
749,2021-08-25,BBIG,0.0,0.0
749,2021-08-25,MOMO,0.0,0.0
749,2021-08-25,WTRH,0.0,0.0
749,2021-08-25,APT,0.0,0.0
749,2021-08-25,DRNA,0.0,0.0
749,2021-08-25,PIXY,0.0,0.0
749,2021-08-25,PRTH,0.0,0.0
749,2021-08-25,SONN,0.0,0.0
749,2021-08-25,NBIX,0.0,0.0
181,2021-08-25,ONDS,0.0,0.0
39,2021-08-25,CPOP,0.0,0.0
749,2021-08-25,OPTN,0.0,0.0
368,2021-08-25,OLB,0.0,0.0
749,2021-08-25,BIOC,0.0,0.0
749,2021-08-25,KPTI,0.0,0.0
240,2021-08-25,CRTD,0.0,0.0
748,2021-08-25,COE,0.0,0.0
71,2021-08-25,EJH,0.0,0.0
748,2021-08-25,MDVL,0.0,0.0
8,2021-08-25,DATS,0.0,0.0
228,2021-08-25,ORPH,0.0,0.0
34,2021-08-25,SNTG,0.0,0.0
749,2021-08-25,NXTD,0.0,0.0
749,2021-08-25,AEYE,0.0,0.0
510,2021-08-25,ABVC,0.0,0.0
749,2021-08-25,YVR,0.0,0.0
749,2021-08-25,RSLS,0.0,0.0
617,2021-08-25,MEDS,0.0,0.0
749,2021-08-25,BZUN,0.0,0.0
749,2021-08-25,GRWG,0.0,0.0
749,2021-08-25,NVIV,0.0,0.0
71,2021-08-25,DBGI,0.0,0.0
749,2021-08-25,INDP,0.0,0.0
749,2021-08-25,OTRK,0.0,0.0
25,2021-08-25,VEEE,0.0,0.0
749,2021-08-25,ICPT,0.0,0.0
749,2021-08-25,WVE,0.0,0.0
749,2021-08-25,DQ,0.0,0.0
749,2021-08-25,FUV,0.0,0.0
84,2021-08-25,PTIX,0.0,0.0
749,2021-08-25,AYTU,0.0,0.0
748,2021-08-25,EPIX,0.0,0.0
749,2021-08-25,KALA,0.0,0.0
749,2021-08-25,EYEG,0.0,0.0
643,2021-08-25,TOMZ,0.0,0.0
620,2021-08-25,FUTU,0.0,0.0
737,2021-08-25,CANG,0.0,0.0
749,2021-08-25,AXDX,0.0,0.0
736,2021-08-25,LFMD,0.0,0.0
679,2021-08-25,GSMG,0.0,0.0
749,2021-08-25,GLG,0.0,0.0
722,2021-08-25,AREC,0.0,0.0
747,2021-08-25,SMED,0.0,0.0
748,2021-08-25,TMBR,0.0,0.0
749,2021-08-25,BABA,0.0,0.0
748,2021-08-25,TPST,0.0,0.0
747,2021-08-25,SDP,0.0,0.0
198,2021-08-25,OWLT,0.0,-1.0
749,2021-08-25,AEHL,0.0,-1.0
743,2021-08-25,GRNQ,0.0,-1.0
603,2021-08-25,PBTS,0.0,-1.0
749,2021-08-25,BPTH,0.0,-3.0
